customer_id,segment,segment_strategy,churn_probability,churn_strategy
EG-13900,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
EH-13765,Low Value,💰 High potential – low frequency but high order value,0.01,✅ Low churn risk – maintain engagement
EH-13945,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.98,🚨 High churn risk – send personalized retention offer
EH-13990,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.98,🚨 High churn risk – send personalized retention offer
EH-14005,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
EH-14125,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
EH-14185,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
EJ-13720,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
EJ-14155,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
EK-13795,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
EL-13735,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.04,✅ Low churn risk – maintain engagement
EM-13810,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
EM-13825,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
EM-13960,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.03,✅ Low churn risk – maintain engagement
EM-14065,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
EM-14095,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
EM-14140,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
EM-14200,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.02,✅ Low churn risk – maintain engagement
EN-13780,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
EP-13915,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
ER-13855,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
ES-14020,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
ES-14080,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
FA-14230,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
FC-14245,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
FC-14335,Low Value,💰 High potential – low frequency but high order value,0.99,🚨 High churn risk – send personalized retention offer
FG-14260,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
FH-14275,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
FH-14350,High Value,🎯 Target with loyalty rewards to maintain strong sales,1.0,🚨 High churn risk – send personalized retention offer
FH-14365,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
FM-14215,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
FM-14290,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
FM-14380,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
FO-14305,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
FP-14320,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
FW-14395,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.98,🚨 High churn risk – send personalized retention offer
GA-14515,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
GA-14725,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
GB-14530,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.03,✅ Low churn risk – maintain engagement
GB-14575,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
GD-14590,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
GG-14650,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
GH-14410,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
GH-14425,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
GH-14485,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
GH-14665,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.02,✅ Low churn risk – maintain engagement
GK-14620,Low Value,💰 High potential – low frequency but high order value,0.01,✅ Low churn risk – maintain engagement
GM-14440,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
GM-14455,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
GM-14500,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
GM-14680,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
GM-14695,Low Value,💰 High potential – low frequency but high order value,0.01,✅ Low churn risk – maintain engagement
GP-14740,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
GR-14560,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
GT-14635,Low Value,💰 High potential – low frequency but high order value,0.03,✅ Low churn risk – maintain engagement
GT-14710,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
GT-14755,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
GW-14605,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
GZ-14470,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
GZ-14545,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
HA-14905,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
HA-14920,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
HD-14785,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
HE-14800,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
HF-14995,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
HG-14845,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
HG-14965,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
HG-15025,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
HH-15010,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
HJ-14875,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
HK-14890,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
HL-15040,At Risk,🚨 Immediate re-engagement – high churn risk,0.0,✅ Low churn risk – maintain engagement
HM-14860,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
HM-14980,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.96,🚨 High churn risk – send personalized retention offer
HP-14815,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
HR-14770,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
HR-14830,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
HW-14935,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
HZ-14950,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
IG-15085,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
IL-15100,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
IM-15055,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.98,🚨 High churn risk – send personalized retention offer
IM-15070,Low Value,💰 High potential – low frequency but high order value,0.98,🚨 High churn risk – send personalized retention offer
JA-15970,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JB-15400,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JB-15925,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
JB-16000,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JB-16045,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JC-15340,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
JC-15385,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.04,✅ Low churn risk – maintain engagement
JC-15775,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JC-16105,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JD-15790,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JD-15895,Low Value,💰 High potential – low frequency but high order value,0.99,🚨 High churn risk – send personalized retention offer
JD-16015,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.04,✅ Low churn risk – maintain engagement
JD-16060,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
JD-16150,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JE-15475,High Value,🎯 Target with loyalty rewards to maintain strong sales,1.0,🚨 High churn risk – send personalized retention offer
JE-15610,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JE-15715,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JE-15745,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JE-16165,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JF-15190,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JF-15295,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.99,🚨 High churn risk – send personalized retention offer
JF-15355,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JF-15415,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JF-15490,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JF-15565,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JG-15115,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
JG-15160,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JG-15310,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JG-15805,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.99,🚨 High churn risk – send personalized retention offer
JH-15430,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.02,✅ Low churn risk – maintain engagement
JH-15820,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.06,✅ Low churn risk – maintain engagement
JH-15910,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JH-15985,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JH-16180,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
JJ-15445,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
JJ-15760,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
JK-15205,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JK-15325,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
JK-15370,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JK-15625,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JK-15640,Low Value,💰 High potential – low frequency but high order value,0.14,✅ Low churn risk – maintain engagement
JK-15730,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JK-16090,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JK-16120,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JL-15130,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JL-15175,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
JL-15235,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JL-15505,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JL-15835,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JL-15850,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
JM-15250,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JM-15265,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JM-15535,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JM-15580,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
JM-15655,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JM-15865,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JM-16195,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JO-15145,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JO-15280,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JO-15550,High Value,🎯 Target with loyalty rewards to maintain strong sales,1.0,🚨 High churn risk – send personalized retention offer
JP-15460,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JP-15520,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
JP-16135,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JR-15670,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
JR-15700,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
JR-16210,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JS-15595,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JS-15685,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JS-15880,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
JS-15940,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
JS-16030,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JW-15220,Low Value,💰 High potential – low frequency but high order value,0.01,✅ Low churn risk – maintain engagement
JW-15955,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
JW-16075,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
KA-16525,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
KB-16240,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
KB-16315,High Value,🎯 Target with loyalty rewards to maintain strong sales,1.0,🚨 High churn risk – send personalized retention offer
KB-16405,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.02,✅ Low churn risk – maintain engagement
KB-16585,Low Value,💰 High potential – low frequency but high order value,0.98,🚨 High churn risk – send personalized retention offer
KB-16600,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
KC-16255,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
KC-16540,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
KC-16675,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
KD-16270,Low Value,💰 High potential – low frequency but high order value,1.0,🚨 High churn risk – send personalized retention offer
KD-16345,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
KD-16495,Low Value,💰 High potential – low frequency but high order value,0.01,✅ Low churn risk – maintain engagement
KD-16615,High Value,🎯 Target with loyalty rewards to maintain strong sales,1.0,🚨 High churn risk – send personalized retention offer
KE-16420,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
KF-16285,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
KH-16330,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
KH-16360,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
KH-16510,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
KH-16630,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
KH-16690,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
KL-16555,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
KL-16645,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
KM-16225,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
KM-16375,Low Value,💰 High potential – low frequency but high order value,0.01,✅ Low churn risk – maintain engagement
KM-16660,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
KM-16720,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
KN-16390,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
KN-16450,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
KN-16705,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
KS-16300,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.97,🚨 High churn risk – send personalized retention offer
KT-16465,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.93,🚨 High churn risk – send personalized retention offer
KT-16480,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
KW-16435,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
KW-16570,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
LA-16780,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
LB-16735,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
LB-16795,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
LC-16870,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LC-16885,Low Value,💰 High potential – low frequency but high order value,0.01,✅ Low churn risk – maintain engagement
LC-16930,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
LC-16960,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
LC-17050,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LC-17140,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LD-16855,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
LD-17005,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
LE-16810,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LF-17185,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LH-16750,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.02,✅ Low churn risk – maintain engagement
LH-16900,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LH-17020,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.97,🚨 High churn risk – send personalized retention offer
LH-17155,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.99,🚨 High churn risk – send personalized retention offer
LL-16840,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.99,🚨 High churn risk – send personalized retention offer
LM-17065,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
LO-17170,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LP-17080,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LP-17095,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LR-16915,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
LR-17035,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
LS-16945,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
LS-16975,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LS-17200,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
LS-17230,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
LS-17245,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LT-16765,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LT-17110,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LW-16825,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LW-16990,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
LW-17125,High Value,🎯 Target with loyalty rewards to maintain strong sales,1.0,🚨 High churn risk – send personalized retention offer
LW-17215,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
MA-17560,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
MA-17995,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.9,🚨 High churn risk – send personalized retention offer
MB-17305,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MB-18085,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MC-17275,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MC-17425,Low Value,💰 High potential – low frequency but high order value,0.99,🚨 High churn risk – send personalized retention offer
MC-17575,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
MC-17590,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MC-17605,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MC-17635,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.99,🚨 High churn risk – send personalized retention offer
MC-17845,Low Value,💰 High potential – low frequency but high order value,0.01,✅ Low churn risk – maintain engagement
MC-18100,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MC-18130,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
MD-17350,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MD-17860,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
ME-17320,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
ME-17725,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
ME-18010,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MF-17665,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
MF-18250,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MG-17650,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MG-17680,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MG-17695,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
MG-17875,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MG-17890,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MG-18145,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MG-18205,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
MH-17290,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MH-17440,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
MH-17455,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
MH-17620,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
MH-17785,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
